OBJECTID,PRICE_NODE,Node_Type,PRICEND_ID,Rec_ID,ACTIV_NODE,Plant,Unit,Substation,ISO_Zone,County,State,Plant_ID,Unit_ID,Settlement,Roll_LMP,Roll_WW,NW_LMP,RT_LMP,Latitude,Longitude
-1,KCPLLEVEEUNHAW7,Generator,887890,20732,Y,Hawthorne (MO),7, ,KCPL_KCPL,Jackson,MO,1389,388107,KCPLLEVEEUNHAW7,24.010000000000002,21.260000000000002,26.210000000000001,0.000000000000000,39.130465000000072,-94.478202999999951
-1,KCPLLEVEEUNHAW8,Generator,887891,20733,Y,Hawthorne (MO),8, ,KCPL_KCPL,Jackson,MO,1389,388108,KCPLLEVEEUNHAW8,24.010000000000002,21.260000000000002,26.210000000000001,0.000000000000000,39.130465000000072,-94.478202999999951
-1,KCPLMONTROSEUNMON1,Generator,887922,20766,Y,Montrose,1, ,KCPL_KCPL,Henry,MO,1390,388110,KCPLMONTROSEUNMON1,23.930000000000000,20.739999999999998,26.789999999999999,0.000000000000000,38.311299000000076,-93.934525999999948
-1,KCPLMONTROSEUNMON2,Generator,887923,20767,Y,Montrose,2, ,KCPL_KCPL,Henry,MO,1390,388111,KCPLMONTROSEUNMON2,23.309999999999999,20.730000000000000,25.379999999999999,0.000000000000000,38.311299000000076,-93.934525999999948
-1,KCPLMONTROSEUNMON3,Generator,887924,20768,Y,Montrose,3, ,KCPL_KCPL,Henry,MO,1390,388112,KCPLMONTROSEUNMON3,23.309999999999999,20.730000000000000,25.379999999999999,0.000000000000000,38.311299000000076,-93.934525999999948
-1,KCPLNRTHEASTUNNE11,Generator,887266,20792,Y,Northeast Station (MO),11, ,KCPL_KCPL,Jackson,MO,1391,388113,KCPLNRTHEASTUNNE11,23.559999999999999,20.809999999999999,25.760000000000002,0.000000000000000,39.122456000000057,-94.559342999999956
-1,KCPLNRTHEASTUNNE12,Generator,887267,20793,Y,Northeast Station (MO),12, ,KCPL_KCPL,Jackson,MO,1391,388114,KCPLNRTHEASTUNNE12,23.559999999999999,20.809999999999999,25.760000000000002,0.000000000000000,39.122456000000057,-94.559342999999956
-1,KCPLNRTHEASTUNNE13,Generator,887268,20794,Y,Northeast Station (MO),13, ,KCPL_KCPL,Jackson,MO,1391,388115,KCPLNRTHEASTUNNE13,23.559999999999999,20.809999999999999,25.760000000000002,0.000000000000000,39.122456000000057,-94.559342999999956
-1,KCPLNRTHEASTUNNE14,Generator,887269,20795,Y,Northeast Station (MO),14, ,KCPL_KCPL,Jackson,MO,1391,388116,KCPLNRTHEASTUNNE14,23.559999999999999,20.809999999999999,25.760000000000002,0.000000000000000,39.122456000000057,-94.559342999999956
-1,KCPLNRTHEASTUNNE15,Generator,887270,20796,Y,Northeast Station (MO),15, ,KCPL_KCPL,Jackson,MO,1391,388117,KCPLNRTHEASTUNNE15,23.559999999999999,20.809999999999999,25.760000000000002,0.000000000000000,39.122456000000057,-94.559342999999956
-1,KCPLNRTHEASTUNNE16,Generator,887271,20797,Y,Northeast Station (MO),16, ,KCPL_KCPL,Jackson,MO,1391,388118,KCPLNRTHEASTUNNE16,23.559999999999999,20.809999999999999,25.760000000000002,0.000000000000000,39.122456000000057,-94.559342999999956
